train_feat_before_target_end,train_return_identity,train_no_nan,val_feat_before_target_end,val_return_identity,val_no_nan,test_feat_before_target_end,test_return_identity,test_no_nan,disjoint,horizon_ok,ticker,all_passed
True,True,True,True,True,True,True,True,True,True,True,APPN,True
True,True,True,True,True,True,True,True,True,True,True,APPS,True
True,True,True,True,True,True,True,True,True,True,True,APRE,True
True,True,True,True,True,True,True,True,True,True,True,APT,True
True,True,True,True,True,True,True,True,True,True,True,APTV,True
True,True,True,True,True,True,True,True,True,True,True,APVO,True
True,True,True,True,True,True,True,True,True,True,True,APWC,True
True,True,True,True,True,True,True,True,True,True,True,APYX,True
True,True,True,True,True,True,True,True,True,True,True,AQB,True
True,True,True,True,True,True,True,True,True,True,True,AQMS,True
True,True,True,True,True,True,True,True,True,True,True,AQN,True
True,True,True,True,True,True,True,True,True,True,True,AQNB,True
True,True,True,True,True,True,True,True,True,True,True,AQST,True
True,True,True,True,True,True,True,True,True,True,True,AR,True
True,True,True,True,True,True,True,True,True,True,True,ARAY,True
True,True,True,True,True,True,True,True,True,True,True,ARBE,True
True,True,True,True,True,True,True,True,True,True,True,ARBK,True
True,True,True,True,True,True,True,True,True,True,True,ARBKL,True
True,True,True,True,True,True,True,True,True,True,True,ARCB,True
True,True,True,True,True,True,True,True,True,True,True,ARCC,True
True,True,True,True,True,True,True,True,True,True,True,ARCO,True
True,True,True,True,True,True,True,True,True,True,True,ARCT,True
True,True,True,True,True,True,True,True,True,True,True,ARDC,True
True,True,True,True,True,True,True,True,True,True,True,ARDX,True
True,True,True,True,True,True,True,True,True,True,True,ARE,True
True,True,True,True,True,True,True,True,True,True,True,AREB,True
True,True,True,True,True,True,True,True,True,True,True,AREC,True
True,True,True,True,True,True,True,True,True,True,True,AREN,True
True,True,True,True,True,True,True,True,True,True,True,ARES,True
True,True,True,True,True,True,True,True,True,True,True,ARGD,True
True,True,True,True,True,True,True,True,True,True,True,ARGX,True
True,True,True,True,True,True,True,True,True,True,True,ARHS,True
True,True,True,True,True,True,True,True,True,True,True,ARI,True
True,True,True,True,True,True,True,True,True,True,True,ARIS,True
True,True,True,True,True,True,True,True,True,True,True,ARKO,True
True,True,True,True,True,True,True,True,True,True,True,ARKR,True
True,True,True,True,True,True,True,True,True,True,True,ARL,True
True,True,True,True,True,True,True,True,True,True,True,ARLO,True
True,True,True,True,True,True,True,True,True,True,True,ARLP,True
True,True,True,True,True,True,True,True,True,True,True,ARMK,True
True,True,True,True,True,True,True,True,True,True,True,ARMN,True
True,True,True,True,True,True,True,True,True,True,True,ARMP,True
True,True,True,True,True,True,True,True,True,True,True,AROC,True
True,True,True,True,True,True,True,True,True,True,True,AROW,True
True,True,True,True,True,True,True,True,True,True,True,ARQ,True
True,True,True,True,True,True,True,True,True,True,True,ARQQ,True
True,True,True,True,True,True,True,True,True,True,True,ARQT,True
True,True,True,True,True,True,True,True,True,True,True,ARR,True
True,True,True,True,True,True,True,True,True,True,True,ARRY,True
True,True,True,True,True,True,True,True,True,True,True,ARTL,True
True,True,True,True,True,True,True,True,True,True,True,ARTNA,True
True,True,True,True,True,True,True,True,True,True,True,ARTW,True
True,True,True,True,True,True,True,True,True,True,True,ARVN,True
True,True,True,True,True,True,True,True,True,True,True,ARW,True
True,True,True,True,True,True,True,True,True,True,True,ARWR,True
True,True,True,True,True,True,True,True,True,True,True,ASA,True
True,True,True,True,True,True,True,True,True,True,True,ASAN,True
True,True,True,True,True,True,True,True,True,True,True,ASB,True
True,True,True,True,True,True,True,True,True,True,True,ASC,True
True,True,True,True,True,True,True,True,True,True,True,ASG,True
True,True,True,True,True,True,True,True,True,True,True,ASGI,True
True,True,True,True,True,True,True,True,True,True,True,ASGN,True
True,True,True,True,True,True,True,True,True,True,True,ASH,True
True,True,True,True,True,True,True,True,True,True,True,ASIX,True
True,True,True,True,True,True,True,True,True,True,True,ASLE,True
True,True,True,True,True,True,True,True,True,True,True,ASM,True
True,True,True,True,True,True,True,True,True,True,True,ASMB,True
True,True,True,True,True,True,True,True,True,True,True,ASML,True
True,True,True,True,True,True,True,True,True,True,True,ASND,True
True,True,True,True,True,True,True,True,True,True,True,ASO,True
True,True,True,True,True,True,True,True,True,True,True,ASPN,True
True,True,True,True,True,True,True,True,True,True,True,ASPS,True
True,True,True,True,True,True,True,True,True,True,True,ASR,True
True,True,True,True,True,True,True,True,True,True,True,ASRT,True
True,True,True,True,True,True,True,True,True,True,True,ASRV,True
True,True,True,True,True,True,True,True,True,True,True,ASTC,True
True,True,True,True,True,True,True,True,True,True,True,ASTE,True
True,True,True,True,True,True,True,True,True,True,True,ASTH,True
True,True,True,True,True,True,True,True,True,True,True,ASTL,True
True,True,True,True,True,True,True,True,True,True,True,ASTS,True
True,True,True,True,True,True,True,True,True,True,True,ASUR,True
True,True,True,True,True,True,True,True,True,True,True,ASX,True
True,True,True,True,True,True,True,True,True,True,True,ASYS,True
True,True,True,True,True,True,True,True,True,True,True,ATAI,True
True,True,True,True,True,True,True,True,True,True,True,ATCH,True
True,True,True,True,True,True,True,True,True,True,True,ATCOL,True
True,True,True,True,True,True,True,True,True,True,True,ATEC,True
True,True,True,True,True,True,True,True,True,True,True,ATEN,True
True,True,True,True,True,True,True,True,True,True,True,ATER,True
True,True,True,True,True,True,True,True,True,True,True,ATEX,True
True,True,True,True,True,True,True,True,True,True,True,ATGE,True
True,True,True,True,True,True,True,True,True,True,True,ATHA,True
True,True,True,True,True,True,True,True,True,True,True,ATHE,True
True,True,True,True,True,True,True,True,True,True,True,ATHM,True
True,True,True,True,True,True,True,True,True,True,True,ATI,True
True,True,True,True,True,True,True,True,True,True,True,ATKR,True
True,True,True,True,True,True,True,True,True,True,True,ATLC,True
True,True,True,True,True,True,True,True,True,True,True,ATLCL,True
True,True,True,True,True,True,True,True,True,True,True,ATLCP,True
True,True,True,True,True,True,True,True,True,True,True,ATLN,True
True,True,True,True,True,True,True,True,True,True,True,ATLO,True
True,True,True,True,True,True,True,True,True,True,True,ATNF,True
True,True,True,True,True,True,True,True,True,True,True,ATNI,True
True,True,True,True,True,True,True,True,True,True,True,ATNM,True
True,True,True,True,True,True,True,True,True,True,True,ATO,True
True,True,True,True,True,True,True,True,True,True,True,ATOM,True
True,True,True,True,True,True,True,True,True,True,True,ATOS,True
True,True,True,True,True,True,True,True,True,True,True,ATR,True
True,True,True,True,True,True,True,True,True,True,True,ATRA,True
True,True,True,True,True,True,True,True,True,True,True,ATRC,True
True,True,True,True,True,True,True,True,True,True,True,ATRO,True
True,True,True,True,True,True,True,True,True,True,True,ATS,True
True,True,True,True,True,True,True,True,True,True,True,ATUS,True
True,True,True,True,True,True,True,True,True,True,True,ATXG,True
True,True,True,True,True,True,True,True,True,True,True,ATXS,True
True,True,True,True,True,True,True,True,True,True,True,ATYR,True
True,True,True,True,True,True,True,True,True,True,True,AU,True
True,True,True,True,True,True,True,True,True,True,True,AUB,True
True,True,True,True,True,True,True,True,True,True,True,AUBN,True
True,True,True,True,True,True,True,True,True,True,True,AUDC,True
True,True,True,True,True,True,True,True,True,True,True,AUID,True
True,True,True,True,True,True,True,True,True,True,True,AUPH,True
True,True,True,True,True,True,True,True,True,True,True,AUR,True
True,True,True,True,True,True,True,True,True,True,True,AURA,True
True,True,True,True,True,True,True,True,True,True,True,AUTL,True
True,True,True,True,True,True,True,True,True,True,True,AUUD,True
True,True,True,True,True,True,True,True,True,True,True,AVA,True
True,True,True,True,True,True,True,True,True,True,True,AVAH,True
True,True,True,True,True,True,True,True,True,True,True,AVAL,True
True,True,True,True,True,True,True,True,True,True,True,AVAV,True
True,True,True,True,True,True,True,True,True,True,True,AVB,True
True,True,True,True,True,True,True,True,True,True,True,AVD,True
True,True,True,True,True,True,True,True,True,True,True,AVDL,True
True,True,True,True,True,True,True,True,True,True,True,AVDX,True
True,True,True,True,True,True,True,True,True,True,True,AVGO,True
True,True,True,True,True,True,True,True,True,True,True,AVIR,True
True,True,True,True,True,True,True,True,True,True,True,AVK,True
True,True,True,True,True,True,True,True,True,True,True,AVNS,True
True,True,True,True,True,True,True,True,True,True,True,AVNT,True
True,True,True,True,True,True,True,True,True,True,True,AVNW,True
True,True,True,True,True,True,True,True,True,True,True,AVO,True
True,True,True,True,True,True,True,True,True,True,True,AVPT,True
True,True,True,True,True,True,True,True,True,True,True,AVT,True
True,True,True,True,True,True,True,True,True,True,True,AVTR,True
True,True,True,True,True,True,True,True,True,True,True,AVTX,True
True,True,True,True,True,True,True,True,True,True,True,AVXL,True
True,True,True,True,True,True,True,True,True,True,True,AVY,True
True,True,True,True,True,True,True,True,True,True,True,AWF,True
True,True,True,True,True,True,True,True,True,True,True,AWI,True
True,True,True,True,True,True,True,True,True,True,True,AWK,True
True,True,True,True,True,True,True,True,True,True,True,AWP,True
True,True,True,True,True,True,True,True,True,True,True,AWR,True
True,True,True,True,True,True,True,True,True,True,True,AWRE,True
True,True,True,True,True,True,True,True,True,True,True,AWX,True
True,True,True,True,True,True,True,True,True,True,True,AX,True
True,True,True,True,True,True,True,True,True,True,True,AXGN,True
True,True,True,True,True,True,True,True,True,True,True,AXL,True
True,True,True,True,True,True,True,True,True,True,True,AXON,True
True,True,True,True,True,True,True,True,True,True,True,AXP,True
True,True,True,True,True,True,True,True,True,True,True,AXR,True
True,True,True,True,True,True,True,True,True,True,True,AXS,True
True,True,True,True,True,True,True,True,True,True,True,AXSM,True
True,True,True,True,True,True,True,True,True,True,True,AXTA,True
True,True,True,True,True,True,True,True,True,True,True,AXTI,True
True,True,True,True,True,True,True,True,True,True,True,AYI,True
True,True,True,True,True,True,True,True,True,True,True,AYRO,True
True,True,True,True,True,True,True,True,True,True,True,AYTU,True
True,True,True,True,True,True,True,True,True,True,True,AZ,True
True,True,True,True,True,True,True,True,True,True,True,AZEK,True
True,True,True,True,True,True,True,True,True,True,True,AZN,True
